year,biomass_on_may_15,leaves_on_may_15,leaf_area_on_may_15,version
2007,2.535295754404808,6,255.0922757321412,Origin
2007,4.887003392453911,8,403.5868497853035,Temp
2007,2.477085210019091,6,255.0922757321412,VPD
2007,4.814315075740643,8,403.5868497853035,All
2008,2.7216381218560155,7,272.29568071208047,Origin
2008,4.914999200487474,9,426.08011841596164,Temp
2008,2.6389815928379106,7,272.29568071208047,VPD
2008,4.824134488462219,9,426.08011841596164,All
2009,1.5137912646886573,5,172.81270005296938,Origin
2009,3.9216657884787702,7,311.07087567354284,Temp
2009,1.4762120335028457,5,172.81270005296938,VPD
2009,3.8560019171295132,7,311.07087567354284,All
2010,0.4362891054549952,6,48.13675960448456,Origin
2010,2.2319373154024067,7,270.12124738033526,Temp
2010,0.4311090906871009,6,48.13675960448457,VPD
2010,2.1915322038712364,7,270.12124738033526,All
2011,0.7054855568706686,7,121.66272295925793,Origin
2011,3.28499866138696,8,337.57962932420673,Temp
2011,0.6936656252157463,7,121.66272295925793,VPD
2011,3.216043386494425,8,337.57962932420673,All
2012,0.3291267304691785,5,22.920793231039823,Origin
2012,2.465308534416243,7,267.7888023402034,Temp
2012,0.32824826540213076,5,22.920793231039823,VPD
2012,2.421267482442877,7,267.7888023402034,All
2013,3.276700272750574,8,323.6612312333175,Origin
2013,5.1648485892808065,10,455.22194143911565,Temp
2013,3.199259639254481,8,323.66123123331744,VPD
2013,5.093739761197788,10,455.22194143911565,All
2014,2.2197146222614106,7,257.2060960506203,Origin
2014,5.125289610379885,9,445.0507438673515,Temp
2014,2.166730400457354,7,257.2060960506203,VPD
2014,5.039027270118304,9,445.0507438673515,All
2015,4.184572562973612,8,387.09290155989294,Origin
2015,6.323701254348037,11,522.7250599146754,Temp
2015,4.076082702361633,8,387.09290155989294,VPD
2015,6.226448474272441,11,522.7250599146754,All
2016,3.7603019276195417,7,341.7422839872039,Origin
2016,5.263050449247778,10,479.2676482187577,Temp
2016,3.6489356659925094,7,341.7422839872039,VPD
2016,5.171526981523135,10,479.2676482187577,All
